ITER - 0 | RESULT: 6.041306050974526e-07
ITER - 10 | RESULT: -7.533058692388295e-07
ITER - 20 | RESULT: 1.425210757588502e-05
ITER - 30 | RESULT: 7.120619557099417e-05
ITER - 40 | RESULT: 0.00010614882921800017
ITER - 50 | RESULT: 0.00011459276720415801
ITER - 60 | RESULT: 0.0002061574050458148
ITER - 70 | RESULT: 0.00033965022885240614
ITER - 80 | RESULT: 0.00022632905165664852
ITER - 90 | RESULT: 0.0003120821202173829
ITER - 100 | RESULT: 0.0004583422269206494
ITER - 110 | RESULT: 0.000684539380017668
ITER - 120 | RESULT: 0.0008071927004493773
ITER - 130 | RESULT: 0.0010846271179616451
ITER - 140 | RESULT: 0.0006066775531508029
ITER - 150 | RESULT: 0.0007711024372838438
ITER - 160 | RESULT: 0.0007758123683743179
ITER - 170 | RESULT: 0.001172366552054882
ITER - 180 | RESULT: 0.001529668108560145
ITER - 190 | RESULT: 0.0011793465819209814
ITER - 200 | RESULT: 0.0014996525133028626
ITER - 210 | RESULT: 0.001248561660759151
ITER - 220 | RESULT: 0.002425731159746647
ITER - 230 | RESULT: 0.0014039672678336501
ITER - 240 | RESULT: 0.0021237412001937628
ITER - 250 | RESULT: 0.0020821131765842438
ITER - 260 | RESULT: 0.0025636658538132906
ITER - 270 | RESULT: 0.0032416631001979113
ITER - 280 | RESULT: 0.003265993669629097
ITER - 290 | RESULT: 0.0025354891549795866
ITER - 300 | RESULT: 0.004192049615085125
ITER - 310 | RESULT: 0.0029251989908516407
ITER - 320 | RESULT: 0.0019868931267410517
ITER - 330 | RESULT: 0.002794130239635706
ITER - 340 | RESULT: 0.0026478287763893604
ITER - 350 | RESULT: 0.004500445444136858
ITER - 360 | RESULT: 0.0016772488597780466
ITER - 370 | RESULT: 0.00523867504671216
ITER - 380 | RESULT: 0.002515468979254365
ITER - 390 | RESULT: 0.003421303117647767
ITER - 400 | RESULT: 0.003189593320712447
ITER - 410 | RESULT: 0.004517172928899527
ITER - 420 | RESULT: 0.005413298960775137
ITER - 430 | RESULT: 0.004984134342521429
ITER - 440 | RESULT: 0.003639640985056758
ITER - 450 | RESULT: 0.00374019518494606
ITER - 460 | RESULT: 0.0022973858285695314
ITER - 470 | RESULT: 0.005106928758323193
ITER - 480 | RESULT: 0.005043603014200926
ITER - 490 | RESULT: 0.004828550852835178
ITER - 500 | RESULT: 0.003994491416960955
ITER - 510 | RESULT: 0.00746879680082202
ITER - 520 | RESULT: 0.006522233132272959
ITER - 530 | RESULT: 0.008540356531739235
ITER - 540 | RESULT: 0.008217351511120796
ITER - 550 | RESULT: 0.006850663106888533
ITER - 560 | RESULT: 0.00476489681750536
ITER - 570 | RESULT: 0.0061475434340536594
ITER - 580 | RESULT: 0.0077275666408240795
ITER - 590 | RESULT: 0.007373958360403776
ITER - 600 | RESULT: 0.010366692207753658
ITER - 610 | RESULT: 0.010396627709269524
ITER - 620 | RESULT: 0.0073617445304989815
ITER - 630 | RESULT: 0.006310143042355776
ITER - 640 | RESULT: 0.007195374928414822
ITER - 650 | RESULT: 0.007698012515902519
